,id,type,data
528,TOR201905120,umphome,herna901
529,TOR201905120,ump1b,hicke901
530,TOR201905120,ump2b,torrc901
531,TOR201905120,ump3b,demud901
532,TOR201905120,howscored,park
533,TOR201905120,pitches,pitches
534,TOR201905120,oscorer,lajor701
535,TOR201905120,temp,68
536,TOR201905120,winddir,unknown
537,TOR201905120,windspeed,0
538,TOR201905120,fieldcond,unknown
539,TOR201905120,precip,unknown
540,TOR201905120,sky,dome
541,TOR201905120,timeofgame,167
542,TOR201905120,attendance,24222
543,TOR201905120,wp,gioll001
544,TOR201905120,lp,sanca006
545,TOR201905120,save,
546,TOR201905200,visteam,BOS
547,TOR201905200,hometeam,TOR
548,TOR201905200,site,TOR02
549,TOR201905200,date,2019/05/20
550,TOR201905200,number,0
551,TOR201905200,starttime,1:07PM
552,TOR201905200,daynight,day
553,TOR201905200,usedh,true
554,TOR201905200,umphome,wegnm901
555,TOR201905200,ump1b,porta901
556,TOR201905200,ump2b,ortir901
557,TOR201905200,ump3b,sches901
558,TOR201905200,howscored,park
559,TOR201905200,pitches,pitches
560,TOR201905200,oscorer,starh701
561,TOR201905200,temp,68
562,TOR201905200,winddir,unknown
563,TOR201905200,windspeed,0
564,TOR201905200,fieldcond,unknown
565,TOR201905200,precip,unknown
566,TOR201905200,sky,dome
567,TOR201905200,timeofgame,176
568,TOR201905200,attendance,26794
569,TOR201905200,wp,pricd001
570,TOR201905200,lp,jacke001
571,TOR201905200,save,
572,TOR201905210,visteam,BOS
573,TOR201905210,hometeam,TOR
574,TOR201905210,site,TOR02
575,TOR201905210,date,2019/05/21
576,TOR201905210,number,0
577,TOR201905210,starttime,7:08PM
578,TOR201905210,daynight,night
579,TOR201905210,usedh,true
580,TOR201905210,umphome,porta901
581,TOR201905210,ump1b,ortir901
582,TOR201905210,ump2b,sches901
583,TOR201905210,ump3b,wegnm901
584,TOR201905210,howscored,park
585,TOR201905210,pitches,pitches
586,TOR201905210,oscorer,starh701
587,TOR201905210,temp,68
588,TOR201905210,winddir,unknown
589,TOR201905210,windspeed,0
590,TOR201905210,fieldcond,unknown
591,TOR201905210,precip,unknown
592,TOR201905210,sky,dome
593,TOR201905210,timeofgame,197
594,TOR201905210,attendance,14407
595,TOR201905210,wp,strom001
596,TOR201905210,lp,rodre004
597,TOR201905210,save,
